Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;10-12-2020;13:00:00;kWh;0,3708;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;14:00:00;kWh;0,2827;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;15:00:00;kWh;0,5645;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;16:00:00;kWh;2,5556;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;17:00:00;kWh;1,7;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;18:00:00;kWh;0,7847;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;19:00:00;kWh;0,6056;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;20:00:00;kWh;0,5739;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;21:00:00;kWh;0,4502;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;22:00:00;kWh;1,4593;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;23:00:00;kWh;2,2581;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;00:00:00;kWh;0,6457;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;01:00:00;kWh;0,2312;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;02:00:00;kWh;0,2194;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;03:00:00;kWh;0,2344;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;04:00:00;kWh;0,208;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;05:00:00;kWh;0,2001;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;06:00:00;kWh;0,2322;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;07:00:00;kWh;0,4384;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;08:00:00;kWh;0,3176;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;09:00:00;kWh;0,7013;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;10:00:00;kWh;0,1743;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;11:00:00;kWh;1,1768;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;12:00:00;kWh;0,3178;;detachedHouse;3;c;12
1011216;7548BM;electricity;11-12-2020;13:00:00;kWh;0,2961;;detachedHouse;3;c;12
